"Review_Date","avg(Reviewer_Score)"
"3/20/2017","8.414695077149153"
"6/29/2016","8.499336283185842"
"11/14/2015","8.297520661157026"
"12/8/2016","8.36919642857143"
"8/21/2016","8.43454384410983"
"7/31/2016","8.378130511463844"
"8/9/2016","8.451359898798225"
"11/24/2016","8.40383275261324"
"5/7/2017","8.288903924221922"
"8/31/2015","8.387682672233822"
"4/10/2017","8.31591836734694"
"2/14/2017","8.576177285318561"
"8/28/2016","8.507679603633358"
"11/26/2015","8.278451178451181"
"8/31/2016","8.661264181523501"
"7/20/2017","8.240979689366789"
"6/11/2016","8.175394321766563"
"11/30/2016","8.176262626262627"
"9/29/2015","8.134407027818444"
"5/5/2017","8.340130505709626"
"10/12/2016","8.310277324632954"
"2/28/2017","8.45669099756691"
"2/4/2017","8.53348519362187"
"4/18/2016","8.34386554621849"
"3/24/2016","8.44281805745554"
"12/29/2016","8.325889046941679"
"3/15/2016","8.64185893210283"
"2/22/2016","8.615"
"3/26/2017","8.560085836909872"
"5/9/2016","8.452224824355973"
"12/24/2016","8.585011990407677"
"10/23/2015","8.33838028169014"
"9/26/2016","8.30454163162321"
"8/21/2015","8.254870129870131"
"6/5/2016","8.458634953464323"
"2/9/2016","8.621939136588814"
"1/11/2016","8.57772621809745"
"5/16/2016","8.482109227871941"
"3/25/2016","8.34068441064639"
"2/7/2017","8.698470948012234"
"5/21/2017","8.211344537815126"
"11/24/2015","8.452932551319643"
"1/2/2016","8.478787878787882"
"2/23/2016","8.568160217243717"
"12/18/2015","8.570355731225296"
"11/22/2015","8.258436724565758"
"6/19/2017","8.310761154855644"
"10/11/2016","8.261920529801325"
"1/8/2016","8.456172839506173"
"10/14/2016","8.224958677685951"
"12/14/2016","8.535081967213117"
"10/4/2016","8.23657448706512"
"2/16/2017","8.512938005390836"
"8/13/2015","8.363139931740614"
"1/1/2017","8.261702127659575"
"8/11/2016","8.310089285714286"
"6/26/2017","8.469693094629157"
"9/27/2015","8.121787148594377"
"4/8/2017","8.363401109057301"
"12/21/2016","8.625766871165645"
"4/1/2017","8.410404624277456"
"1/12/2017","8.536007827788653"
"8/10/2015","8.402136752136755"
"10/7/2016","8.195796847635725"
"6/23/2016","8.246941176470587"
"7/15/2016","8.381690140845071"
"11/15/2015","8.371023427866831"
"11/1/2015","8.257030481809243"
"4/28/2017","8.391422121896163"
"7/13/2016","8.32508474576271"
"9/2/2015","8.54896907216495"
"3/16/2017","8.298734177215191"
"7/26/2017","8.32949389179756"
"6/19/2016","8.286864406779662"
"10/19/2015","8.082886597938145"
"9/20/2015","8.12749360613811"
"12/3/2016","8.418627450980393"
"6/16/2016","8.451125000000001"
"6/6/2016","8.460144927536234"
"1/18/2016","8.563793103448278"
"5/31/2016","8.366684636118592"
"2/19/2016","8.551757188498403"
"11/11/2016","8.251585014409224"
"10/19/2016","8.336160714285715"
"6/2/2017","8.415315315315317"
"4/22/2017","8.417806041335453"
"7/24/2017","8.408345534407028"
"10/6/2015","8.171406371406368"
"9/30/2016","8.203526970954359"
"2/25/2017","8.45857142857143"
"1/9/2017","8.693230316409121"
"5/20/2017","8.3160469667319"
"6/10/2017","8.48701517706577"
"1/3/2016","8.32424437299035"
"11/4/2016","8.371594684385382"
"5/12/2017","8.273529411764708"
"11/7/2016","8.36787086856264"
"8/25/2015","8.471167048054916"
"11/30/2015","8.303472222222224"
"2/22/2017","8.578066914498141"
"2/10/2016","8.45943661971831"
"1/4/2017","8.209198423127464"
"4/2/2016","8.518983050847458"
"11/21/2016","8.364483111566019"
"3/15/2017","8.502836879432623"
"8/22/2015","8.336772983114448"
"2/19/2017","8.516553595658072"
"2/26/2016","8.600843881856541"
"10/3/2016","8.270472792149864"
"10/12/2015","8.143870967741938"
"12/25/2016","8.488470588235296"
"6/27/2016","8.348312883435584"
"4/7/2017","8.38443579766537"
"4/26/2017","8.486643233743411"
"7/4/2016","8.392818671454219"
"11/10/2015","8.4468315301391"
"12/16/2016","8.41263650546022"
"9/2/2016","8.633194154488518"
"11/5/2016","8.318198529411767"
"11/25/2016","8.369565217391306"
"12/10/2015","8.194136291600634"
"10/3/2015","8.165246636771302"
"6/28/2017","8.2851904090268"
"5/11/2017","8.16387900355872"
"11/15/2016","8.346182495344507"
"9/19/2016","8.293212669683257"
"5/7/2016","8.506598984771575"
"4/12/2016","8.498843094721616"
"8/24/2016","8.53792452830189"
"5/17/2017","8.476450511945394"
"6/24/2016","8.331491712707182"
"9/14/2016","8.285106382978723"
"10/24/2016","8.296902303415408"
"1/23/2016","8.453658536585367"
"11/3/2015","8.18869198312236"
"12/30/2016","8.384615384615385"
"5/23/2017","8.41449864498645"
"7/11/2017","8.263758992805753"
"12/11/2016","8.250377073906487"
"8/30/2016","8.41026033690658"
"6/2/2016","8.31717451523546"
"8/4/2015","8.321380846325164"
"9/3/2016","8.582343499197432"
"1/14/2016","8.468634064080945"
"5/15/2016","8.474618096357228"
"6/22/2017","8.244023323615162"
"9/6/2016","8.436249999999998"
